wavelength [nm],transmission
687.4,0.97404
687.6,0.97422
687.8,0.9722
688,0.97164
688.2,0.97192
688.4,0.9735
688.6,0.97468
688.8,0.97625
689,0.97745
689.2,0.97442
689.4,0.97275
689.6,0.9736
689.8,0.97758
690,0.97639
690.2,0.97504
690.4,0.97383
690.6,0.97558
690.8,0.97252
691,0.97306
691.2,0.97397
691.4,0.97472
691.6,0.97551
691.8,0.97641
692,0.97725
692.2,0.97678
692.4,0.97775
692.6,0.98042
692.8,0.97866
693,0.97981
693.2,0.98121
693.4,0.98142
693.6,0.97977
693.8,0.97965
694,0.98118
694.2,0.98108
694.4,0.98106
694.6,0.98297
694.8,0.98165
695,0.98192
695.2,0.98341
695.4,0.98467
695.6,0.98523
695.8,0.98811
696,0.98823
696.2,0.98316
696.4,0.9807
696.6,0.98007
696.8,0.97988
697,0.97781
697.2,0.97784
697.4,0.9786
697.6,0.97982
697.8,0.9792
698,0.98079
698.2,0.98019
698.4,0.97885
698.6,0.98038
698.8,0.97942
699,0.97537
699.2,0.97518
699.4,0.97498
699.6,0.97595
699.8,0.97637
700,0.9766
700.2,0.97587
700.4,0.9718
700.6,0.9716
700.8,0.97091
701,0.9711
701.2,0.97016
701.4,0.96791
701.6,0.97033
701.8,0.97028
702,0.97214
702.2,0.97099
702.4,0.96893
702.6,0.967
702.8,0.97009
703,0.97217
703.2,0.97255
703.4,0.97208
703.6,0.97154
703.8,0.96685
704,0.96856
704.2,0.97116
704.4,0.97183
704.6,0.97066
704.8,0.96838
705,0.97043
705.2,0.97121
705.4,0.97383
705.6,0.97538
705.8,0.97677
706,0.9768
706.2,0.97856
706.4,0.97821
706.6,0.97523
706.8,0.97555
707,0.97719
707.2,0.97825
707.4,0.97529
707.6,0.97372
707.8,0.97328
708,0.97294
708.2,0.97308
708.4,0.97454
708.6,0.97518
708.8,0.97366
709,0.97419
709.2,0.97623
709.4,0.97894
709.6,0.9791
709.8,0.97806
710,0.9756
710.2,0.97418
710.4,0.97284
710.6,0.97199
710.8,0.9751
711,0.97635
711.2,0.97465
711.4,0.97279
