wavelength [nm],transmission
524.4,5.24E-07
524.6,5.24E-07
524.8,5.23E-07
525,5.22E-07
525.2,1.22E-07
525.4,1.22E-07
525.6,1.21E-07
525.8,2.13E-07
526,2.40E-07
526.2,1.53E-07
526.4,1.67E-07
526.6,3.07E-07
526.8,1.20E-07
527,1.42E-07
527.2,3.24E-07
527.4,7.40E-07
527.6,4.22E-07
527.8,1.18E-07
528,1.18E-07
528.2,1.18E-07
528.4,1.18E-07
528.6,1.17E-07
528.8,1.17E-07
529,1.17E-07
529.2,1.17E-07
529.4,2.41E-07
529.6,3.28E-07
529.8,1.16E-07
530,1.15E-07
530.2,5.37E-07
530.4,1.15E-07
530.6,1.14E-07
530.8,1.13E-07
531,1.99E-07
531.2,5.64E-07
531.4,3.80E-07
531.6,2.30E-07
531.8,3.18E-07
532,1.12E-07
532.2,1.65E-07
532.4,2.78E-07
532.6,2.67E-07
532.8,2.55E-07
533,1.12E-07
533.2,1.54E-07
533.4,2.23E-07
533.6,2.23E-07
533.8,2.31E-07
534,3.20E-07
534.2,1.22E-07
534.4,1.12E-07
534.6,1.15E-07
534.8,3.28E-07
535,1.11E-07
535.2,1.70E-07
535.4,2.32E-07
535.6,1.11E-07
535.8,1.79E-07
536,1.64E-07
536.2,4.89E-07
536.4,4.45E-07
536.6,5.87E-07
536.8,3.62E-07
537,1.29E-07
537.2,1.15E-07
537.4,3.27E-07
537.6,3.72E-07
537.8,6.77E-07
538,2.54E-07
538.2,3.91E-07
538.4,3.24E-07
538.6,2.69E-07
538.8,3.09E-07
539,4.09E-07
539.2,5.64E-07
539.4,2.13E-07
539.6,3.60E-07
539.8,7.41E-07
540,6.28E-07
540.2,7.41E-07
540.4,6.06E-07
540.6,7.95E-07
540.8,8.81E-07
541,1.16E-06
541.2,1.68E-06
541.4,2.15E-06
541.6,2.02E-06
541.8,3.22E-06
542,3.69E-06
542.2,5.31E-06
542.4,7.50E-06
542.6,1.05E-05
542.8,1.46E-05
543,2.10E-05
543.2,2.81E-05
543.4,4.72E-05
543.6,7.07E-05
543.8,1.06E-04
544,1.64E-04
544.2,2.57E-04
544.4,5.08E-04
544.6,0.00168
544.8,0.00253
545,0.00351
545.2,0.00537
545.4,0.00882
545.6,0.01646
545.8,0.03177
546,0.06933
546.2,0.15353
546.4,0.33136
546.6,0.6141
546.8,0.85904
547,0.95992
547.2,0.96418
547.4,0.96382
547.6,0.97369
547.8,0.97753
548,0.98182
548.2,0.98054
548.4,0.9797
548.6,0.97892
548.8,0.97697
549,0.97883
549.2,0.98192
549.4,0.98132
549.6,0.98452
549.8,0.98229
550,0.98134
550.2,0.97812
550.4,0.97531
550.6,0.97528
550.8,0.97593
551,0.97581
551.2,0.97593
551.4,0.97717
551.6,0.9762
551.8,0.97798
552,0.97734
552.2,0.97774
552.4,0.97826
552.6,0.97724
552.8,0.97725
553,0.9794
553.2,0.97861
553.4,0.97877
553.6,0.98397
553.8,0.9849
554,0.98801
554.2,0.9918
554.4,0.99273
554.6,0.99148
554.8,0.98754
555,0.98805
555.2,0.98695
555.4,0.98535
555.6,0.9812
555.8,0.97999
556,0.97954
556.2,0.97485
556.4,0.97671
556.6,0.97718
556.8,0.97788
557,0.9804
557.2,0.98121
557.4,0.98075
557.6,0.98283
557.8,0.98247
558,0.98556
558.2,0.98637
558.4,0.9861
558.6,0.98402
558.8,0.9824
559,0.98297
559.2,0.98403
559.4,0.98269
559.6,0.9815
559.8,0.98443
560,0.98363
560.2,0.98288
560.4,0.98261
560.6,0.98156
560.8,0.98404
561,0.98477
561.2,0.98193
561.4,0.98164
561.6,0.97867
561.8,0.97392
562,0.97377
562.2,0.973
562.4,0.97061
562.6,0.97054
562.8,0.96805
563,0.97262
563.2,0.97251
563.4,0.97107
563.6,0.9695
563.8,0.97363
564,0.97411
564.2,0.97584
564.4,0.97639
564.6,0.97671
564.8,0.97387
565,0.97408
565.2,0.97471
565.4,0.9715
565.6,0.97208
565.8,0.97448
566,0.97434
566.2,0.97248
566.4,0.97797
566.6,0.97876
566.8,0.97786
567,0.98053
567.2,0.98447
567.4,0.98536
567.6,0.98845
567.8,0.99121
568,0.9897
568.2,0.98924
568.4,0.989
568.6,0.99124
568.8,0.98847
569,0.98887
569.2,0.98504
569.4,0.98411
569.6,0.98363
569.8,0.97994
570,0.97875
570.2,0.98063
570.4,0.98004
570.6,0.97901
570.8,0.97981
571,0.97788
571.2,0.97831
571.4,0.97868
571.6,0.98188
571.8,0.9808
572,0.9827
572.2,0.98436
572.4,0.9831
572.6,0.98513
572.8,0.98179
573,0.98068
573.2,0.97845
573.4,0.97991
573.6,0.9798
573.8,0.97857
574,0.97806
574.2,0.97651
574.4,0.97767
574.6,0.97868
574.8,0.97736
575,0.97687
575.2,0.97819
575.4,0.98058
575.6,0.97989
575.8,0.98109
576,0.97862
576.2,0.98303
576.4,0.98025
576.6,0.97877
576.8,0.97981
577,0.9839
577.2,0.98199
577.4,0.98119
577.6,0.98219
577.8,0.97976
578,0.98264
578.2,0.98178
578.4,0.98179
578.6,0.98016
578.8,0.97995
579,0.98227
579.2,0.98089
579.4,0.97997
579.6,0.98244
579.8,0.97885
580,0.97951
580.2,0.9826
580.4,0.98137
580.6,0.98099
580.8,0.98093
581,0.98266
581.2,0.97873
581.4,0.98048
581.6,0.98058
581.8,0.98073
582,0.98156
582.2,0.97772
582.4,0.97887
582.6,0.9819
582.8,0.98023
583,0.97842
583.2,0.97832
583.4,0.97713
583.6,0.98066
583.8,0.98028
584,0.97939
584.2,0.98298
584.4,0.98245
584.6,0.97868
584.8,0.98167
585,0.98681
585.2,0.98924
585.4,0.98996
585.6,0.98887
585.8,0.98975
586,0.98904
586.2,0.98961
586.4,0.98926
586.6,0.98858
586.8,0.98918
587,0.98802
587.2,0.98528
587.4,0.98408
587.6,0.98421
587.8,0.98327
588,0.97919
588.2,0.97943
588.4,0.98063
588.6,0.97805
588.8,0.97574
589,0.9774
589.2,0.98204
589.4,0.98036
589.6,0.98089
589.8,0.98032
590,0.98001
590.2,0.98379
590.4,0.98314
590.6,0.98471
590.8,0.98703
591,0.98289
591.2,0.9857
591.4,0.98484
591.6,0.98719
591.8,0.98624
592,0.98364
592.2,0.98458
592.4,0.9838
592.6,0.98419
592.8,0.98211
593,0.97943
593.2,0.97869
593.4,0.97861
593.6,0.9759
593.8,0.97339
594,0.97275
594.2,0.97481
594.4,0.97382
594.6,0.97094
594.8,0.97119
595,0.97318
595.2,0.97588
595.4,0.97472
595.6,0.97749
595.8,0.97695
596,0.98139
596.2,0.9812
596.4,0.98087
596.6,0.97899
596.8,0.97774
597,0.97886
597.2,0.97676
597.4,0.97412
597.6,0.97281
597.8,0.97136
598,0.97056
598.2,0.97077
598.4,0.97026
598.6,0.96833
598.8,0.96971
599,0.97094
599.2,0.97214
599.4,0.97305
599.6,0.97529
599.8,0.97537
600,0.97535
600.2,0.97645
600.4,0.97602
600.6,0.97813
600.8,0.97641
601,0.9733
601.2,0.97276
601.4,0.97729
601.6,0.97441
601.8,0.9716
602,0.97315
602.2,0.97182
602.4,0.97407
602.6,0.97687
602.8,0.97653
603,0.97543
603.2,0.97551
603.4,0.97604
603.6,0.97658
603.8,0.97572
604,0.97693
604.2,0.97663
604.4,0.97494
604.6,0.97779
604.8,0.97983
605,0.98003
605.2,0.9801
605.4,0.97751
605.6,0.97529
605.8,0.97628
606,0.97602
606.2,0.97634
606.4,0.97373
606.6,0.97434
606.8,0.97372
607,0.97222
607.2,0.97244
607.4,0.97525
607.6,0.97573
607.8,0.97469
608,0.97284
608.2,0.9729
608.4,0.97288
608.6,0.97086
608.8,0.9694
609,0.96642
609.2,0.96678
609.4,0.96744
609.6,0.96678
609.8,0.96504
610,0.96834
610.2,0.96927
610.4,0.97222
610.6,0.96844
610.8,0.97241
611,0.97244
611.2,0.97012
611.4,0.97157
611.6,0.97103
611.8,0.97278
612,0.97329
612.2,0.9746
